batsman,runs,balls,outs,fours,sixes,strike_rate,average,innings,dob,batting_hand,bowling_skill,country
Bipul Sharma,187,123,8.0,11,9,152.03252032520325,23.375,17,1983-09-28,Left_Hand,Slow left-arm orthodox,India
C Ingram,187,154,10.0,20,5,121.42857142857142,18.7,12,,Left_Hand,Right-arm fast-medium,
C Madan,15,18,1.0,3,0,83.33333333333334,15.0,1,1982-10-15,Right_Hand,,India
C Munro,180,141,12.0,19,8,127.65957446808511,15.0,11,1987-03-11,Left_Hand,Right-arm medium-fast,New Zealand
C Nanda,0,1,1.0,0,0,0.0,0.0,1,1979-03-29,Right_Hand,Legbreak,India
C de Grandhomme,313,224,15.0,18,17,139.73214285714286,20.866666666666667,21,,Right_hand,Legbreak,
CA Ingram,21,25,2.0,2,0,84.0,10.5,3,1985-07-03,Left_Hand,Legbreak,South Africa
CA Lynn,1308,907,38.0,128,62,144.2116868798236,34.421052631578945,41,1990-04-10,Right_Hand,Slow left-arm orthodox,Australia
CA Pujara,390,390,19.0,50,4,100.0,20.526315789473685,22,1988-01-25,Right_Hand,Legbreak,India
CH Gayle,4560,2966,109.0,376,327,153.74241402562373,41.8348623853211,124,1979-09-21,Left_Hand,Right-arm offbreak,West Indies
CH Morris,520,327,19.0,37,27,159.02140672782875,27.36842105263158,37,1987-04-30,Right_Hand,Right-arm fast-medium,South Africa
CJ Anderson,538,421,22.0,40,31,127.79097387173397,24.454545454545453,29,1990-12-13,Left_Hand,Left-arm medium-fast,New Zealand
CJ Ferguson,98,117,6.0,9,0,83.76068376068376,16.333333333333332,8,1984-11-21,Right_Hand,Right-arm medium,Australia
CJ Jordan,3,5,2.0,0,0,60.0,1.5,2,1988-10-04,Right_Hand,Right-arm fast-medium,England
CJ McKay,8,15,1.0,0,0,53.333333333333336,8.0,1,1983-02-20,Right_Hand,Right-arm fast-medium,Australia
CK Kapugedera,16,22,3.0,0,0,72.72727272727273,5.333333333333333,3,1987-02-24,Right_Hand,Right-arm medium,Sri Lanka
CK Langeveldt,8,9,2.0,0,1,88.88888888888889,4.0,2,1974-12-17,Right_Hand,Right-arm fast-medium,England
CL White,971,757,36.0,76,38,128.26948480845442,26.97222222222222,45,1983-08-18,Right_Hand,Legbreak googly,Australia
CM Gautam,169,149,10.0,17,6,113.42281879194631,16.9,13,1986-03-08,Right_Hand,,India
CR Brathwaite,188,110,13.0,10,16,170.9090909090909,14.461538461538462,14,1988-07-18,Right_Hand,Right-arm fast-medium,West Indies
CR Woakes,63,66,6.0,5,2,95.45454545454545,10.5,11,,Right_hand,Right-arm fast-medium,
CRD Fernando,4,3,0.0,0,0,133.33333333333331,,2,1979-07-19,Right_Hand,Right-arm fast-medium,Sri Lanka
D Kalyankrishna,3,8,1.0,0,0,37.5,3.0,1,1983-12-16,Right_Hand,Right-arm medium-fast,India
D Salunkhe,33,24,2.0,5,0,137.5,16.5,3,1982-11-12,Right_Hand,Legbreak,India
D Shorey,16,17,2.0,0,1,94.11764705882352,8.0,2,,Right_hand,,
D Short,123,99,7.0,11,5,124.24242424242425,17.571428571428573,7,,Left_Hand,Slow left-arm orthodox,
D Wiese,127,89,4.0,12,4,142.69662921348313,31.75,8,1985-05-18,Right_Hand,Right-arm medium-fast,South Africa
D du Preez,10,13,1.0,0,0,76.92307692307693,10.0,1,1981-11-08,Right_Hand,Right-arm fast-medium,South Africa
DA Miller,1875,1330,55.0,127,87,140.97744360902254,34.09090909090909,77,1989-06-10,Left_Hand,Right-arm offbreak,South Africa
DA Warner,4741,3290,110.0,459,181,144.10334346504558,43.1,126,1986-10-27,Left_Hand,Legbreak,Australia
DAJ Bracewell,12,9,0.0,1,0,133.33333333333331,,1,1990-09-28,Right_Hand,Right-arm fast-medium,New Zealand
DB Das,304,260,14.0,23,16,116.92307692307693,21.714285714285715,22,1986-09-22,Right_Hand,Legbreak googly,India
DB Ravi Teja,375,315,19.0,35,9,119.04761904761905,19.736842105263158,25,1987-09-05,Right_Hand,Legbreak googly,India
DE Bollinger,21,22,1.0,1,1,95.45454545454545,21.0,4,1981-07-24,Left_Hand,Left-arm fast-medium,Australia
DH Yagnik,170,133,10.0,23,2,127.81954887218046,17.0,17,1983-06-22,Left_Hand,,India
DJ Bravo,1498,1148,64.0,118,60,130.4878048780488,23.40625,99,1983-10-07,Right_Hand,Right-arm medium-fast,West Indies
DJ Harris,111,101,4.0,11,5,109.9009900990099,27.75,4,1979-12-31,Right_Hand,Right-arm medium,Australia
DJ Hooda,535,411,35.0,27,24,130.17031630170317,15.285714285714286,45,1995-04-19,Right_Hand,Right-arm offbreak,India
DJ Hussey,1322,1070,49.0,90,60,123.55140186915887,26.979591836734695,61,1977-07-15,Right_Hand,Right-arm offbreak,Australia
DJ Jacobs,92,98,7.0,10,4,93.87755102040816,13.142857142857142,7,1982-11-04,Right_Hand,Right-arm medium,South Africa
DJ Muthuswami,1,3,1.0,0,0,33.33333333333333,1.0,1,1981-03-09,Right_Hand,Right-arm medium,India
DJ Thornely,39,53,3.0,2,2,73.58490566037736,13.0,4,1978-10-01,Right_Hand,Right-arm medium,Australia
DJG Sammy,295,241,15.0,15,18,122.40663900414938,19.666666666666668,20,1983-12-20,Right_Hand,Right-arm medium-fast,West Indies
DL Chahar,73,44,6.0,2,6,165.9090909090909,12.166666666666666,7,1992-08-07,Right_Hand,Right-arm medium,India
DL Vettori,121,112,8.0,11,2,108.03571428571428,15.125,16,1979-01-27,Left_Hand,Slow left-arm orthodox,New Zealand
DM Bravo,6,5,0.0,1,0,120.0,,1,,Left_Hand,,
DNT Zoysa,11,9,1.0,1,0,122.22222222222223,11.0,2,1978-05-13,Left_Hand,Left-arm fast-medium,Sri Lanka
DP Nannes,4,13,1.0,0,0,30.76923076923077,4.0,2,1976-05-16,Right_Hand,Left-arm fast,Australia
DP Vijaykumar,1,1,0.0,0,0,100.0,,1,1986-10-20,Right_Hand,Right-arm medium,India
DPMD Jayawardene,1808,1462,64.0,200,40,123.66621067031464,28.25,78,1977-05-27,Right_Hand,Right-arm medium,Sri Lanka
DR Martyn,19,24,1.0,1,0,79.16666666666666,19.0,1,1971-10-21,Right_Hand,Right-arm medium,Australia
DR Smith,2385,1755,84.0,245,117,135.8974358974359,28.392857142857142,88,1983-04-12,Right_Hand,Right-arm medium,West Indies
DS Kulkarni,101,106,9.0,7,2,95.28301886792453,11.222222222222221,19,1988-12-10,Right_Hand,Right-arm medium,India
DS Lehmann,18,18,2.0,3,0,100.0,9.0,2,1970-02-05,Left_Hand,Slow left-arm orthodox,Australia
DT Christian,448,371,25.0,22,19,120.75471698113208,17.92,34,1983-05-04,Right_Hand,Right-arm fast-medium,Australia
DT Patil,13,13,2.0,1,0,100.0,6.5,2,1984-12-06,Right_Hand,,India
DW Steyn,166,158,22.0,14,3,105.0632911392405,7.545454545454546,32,1983-06-27,Right_Hand,Right-arm fast,South Africa
E Lewis,464,328,16.0,38,26,141.46341463414635,29.0,16,,Left_Hand,,
EJG Morgan,854,705,40.0,72,34,121.13475177304964,21.35,45,1986-09-10,Left_Hand,Right-arm medium,England
ER Dwivedi,24,14,2.0,2,2,171.42857142857142,12.0,2,1988-07-22,Right_Hand,,India
F Behardien,14,13,2.0,2,0,107.6923076923077,7.0,3,1983-10-09,Right_Hand,Right-arm fast-medium,South Africa
F du Plessis,1874,1460,59.0,164,59,128.35616438356163,31.76271186440678,64,1984-07-13,Right_Hand,Legbreak,South Africa
FH Edwards,4,5,1.0,0,0,80.0,4.0,2,1982-02-06,Right_Hand,Right-arm fast,West Indies
FY Fazal,183,172,10.0,22,1,106.3953488372093,18.3,11,1985-09-07,Left_Hand,Right-arm medium,India
G Gambhir,4223,3394,136.0,492,59,124.42545668827343,31.051470588235293,151,1981-10-14,Left_Hand,Legbreak,India
GB Hogg,22,22,3.0,1,0,100.0,7.333333333333333,4,1971-02-06,Left_Hand,Slow left-arm chinaman,Australia
GC Smith,739,664,26.0,94,9,111.29518072289157,28.423076923076923,29,1981-02-01,Left_Hand,Right-arm offbreak,South Africa
GD McGrath,4,5,1.0,1,0,80.0,4.0,2,1970-02-09,Right_Hand,Right-arm fast-medium,Australia
GH Vihari,280,311,18.0,23,1,90.03215434083602,15.555555555555555,21,1993-10-13,Right_Hand,Right-arm offbreak,India
GJ Bailey,663,541,27.0,59,19,122.55083179297597,24.555555555555557,36,1982-09-07,Right_Hand,Right-arm medium,Australia
GJ Maxwell,1403,864,61.0,110,91,162.38425925925927,23.0,67,1988-10-14,Right_Hand,Right-arm offbreak,Australia
GR Napier,15,16,1.0,1,0,93.75,15.0,1,1980-01-06,Right_Hand,Right-arm medium,England
Gurkeerat Singh,446,342,24.0,47,11,130.4093567251462,18.583333333333332,27,1990-06-29,Right_Hand,Right-arm offbreak,India
H Brar,22,12,0.0,2,1,183.33333333333331,,1,,Left_Hand,Slow left-arm orthodox,
H Das,2,5,1.0,0,0,40.0,2.0,1,1986-12-10,Right_Hand,,India
H Gurney,1,5,0.0,0,0,20.0,,1,,Right_Hand,Right-arm fast-medium,
H Klaasen,68,56,5.0,5,1,121.42857142857142,13.6,6,,Right_hand,,
H Vihari,4,8,2.0,0,0,50.0,2.0,2,,Right_hand,Right-arm offbreak,
H Viljoen,6,7,2.0,0,0,85.71428571428571,3.0,3,,Right_hand,Right-arm fast,
HH Gibbs,886,805,32.0,83,31,110.06211180124224,27.6875,36,1974-02-23,Right_Hand,Right-arm bowler,South Africa
HH Pandya,1118,688,37.0,73,69,162.5,30.216216216216218,61,1993-10-11,Right_Hand,Right-arm medium-fast,India
HM Amla,577,406,13.0,60,21,142.11822660098522,44.38461538461539,16,1983-03-31,Right_Hand,Right-arm offbreak,South Africa
HV Patel,108,69,11.0,3,9,156.52173913043478,9.818181818181818,15,1990-11-23,Right_Hand,Right-arm medium,India
Harbhajan Singh,834,595,55.0,79,42,140.16806722689074,15.163636363636364,86,1980-07-03,Right_Hand,Right-arm offbreak,India
Harmeet Singh,18,12,4.0,3,0,150.0,4.5,4,1992-09-07,Left_Hand,Slow left-arm orthodox,India
Harpreet Singh,20,26,2.0,0,0,76.92307692307693,10.0,3,1991-08-11,Left_Hand,Right-arm medium,India
I Malhotra,7,4,0.0,1,0,175.0,,1,1984-05-23,Right_Hand,Right-arm medium-fast,India
I Sharma,55,61,6.0,4,2,90.1639344262295,9.166666666666666,18,1988-09-02,Right_Hand,Right-arm fast-medium,India
I Sodhi,10,17,2.0,0,0,58.82352941176471,5.0,2,,Right_hand,Legbreak googly,
IC Pandey,0,2,1.0,0,0,0.0,0.0,1,1989-08-15,Right_Hand,Right-arm medium,India
IK Pathan,1150,947,53.0,88,38,121.43611404435057,21.69811320754717,82,1984-10-27,Left_Hand,Left-arm medium-fast,India
IR Jaggi,76,97,5.0,6,0,78.35051546391753,15.2,7,1989-01-27,Right_Hand,Legbreak googly,India
Imran Tahir,20,27,4.0,3,0,74.07407407407408,5.0,7,1979-03-27,Right_Hand,Legbreak googly,India
Iqbal Abdulla,88,82,2.0,9,1,107.31707317073172,44.0,13,1989-12-02,Left_Hand,Slow left-arm orthodox,India
Ishan Kishan,711,530,33.0,66,34,134.1509433962264,21.545454545454547,33,1998-07-18,Left_Hand,,India
J Archer,85,59,7.0,6,4,144.0677966101695,12.142857142857142,11,,Right_hand,Right-arm fast,
J Arunkumar,23,23,3.0,5,0,100.0,7.666666666666667,3,1975-01-18,Right_Hand,Right-arm offbreak,India
J Bairstow,468,282,8.0,50,18,165.95744680851064,58.5,10,,Right_hand,,
J Botha,409,358,20.0,39,5,114.24581005586592,20.45,28,1982-05-02,Right_Hand,Right-arm offbreak,South Africa
J Denly,0,1,1.0,0,0,0.0,0.0,1,,Right_hand,,
J Searles,8,6,1.0,0,1,133.33333333333331,8.0,2,,Right_hand,Right-arm fast-medium,
J Suchith,54,47,2.0,4,2,114.89361702127661,27.0,6,1994-01-16,Left_Hand,Slow left-arm orthodox,India
J Syed Mohammad,29,26,2.0,4,0,111.53846153846155,14.5,5,1983-06-03,Left_Hand,Slow left-arm orthodox,India
J Theron,10,12,2.0,1,0,83.33333333333334,5.0,4,1985-07-24,Right_Hand,Right-arm medium-fast,South Africa
J Yadav,6,10,2.0,0,0,60.0,3.0,2,1990-01-22,Right_Hand,Right-arm offbreak,India
JA Morkel,975,683,40.0,61,55,142.75256222547583,24.375,67,1981-06-10,Left_Hand,Right-arm medium-fast,South Africa
JC Buttler,1431,920,40.0,143,61,155.54347826086956,35.775,45,1990-09-08,Right_Hand,,England
JD Ryder,604,455,28.0,69,19,132.74725274725273,21.571428571428573,29,1984-08-06,Left_Hand,Right-arm medium,New Zealand
JD Unadkat,55,54,6.0,6,1,101.85185185185186,9.166666666666666,12,1991-10-18,Right_Hand,Left-arm medium,India
JDP Oram,106,107,8.0,6,5,99.06542056074767,13.25,11,1978-07-28,Left_Hand,Right-arm fast-medium,New Zealand
JDS Neesham,42,46,3.0,3,1,91.30434782608695,14.0,3,1990-09-17,Left_Hand,Right-arm medium,New Zealand
JE Taylor,3,3,1.0,0,0,100.0,3.0,2,1984-06-22,Right_Hand,Right-arm fast,New Zealand
JEC Franklin,327,300,11.0,25,9,109.00000000000001,29.727272727272727,16,1980-11-07,Left_Hand,Left-arm medium,New Zealand
JH Kallis,2427,2213,85.0,255,44,109.6701310438319,28.55294117647059,95,1975-10-16,Right_Hand,Right-arm fast-medium,South Africa
JJ Bumrah,37,37,4.0,2,1,100.0,9.25,10,1993-12-06,Right_Hand,Right-arm medium,India
JJ Roy,186,135,5.0,18,8,137.77777777777777,37.2,8,,Right_hand,,
JJ van der Wath,18,16,2.0,1,1,112.5,9.0,3,1978-01-10,Right_Hand,Right-arm medium-fast,South Africa
JM Kemp,26,24,2.0,1,1,108.33333333333333,13.0,2,1977-10-02,Right_Hand,Right-arm fast-medium,South Africa
JO Holder,38,31,5.0,4,2,122.58064516129032,7.6,5,1991-11-05,Right_Hand,Right-arm medium-fast,West Indies
JP Duminy,2041,1631,51.0,126,79,125.13795217657879,40.01960784313726,75,1984-04-14,Left_Hand,Right-arm offbreak,South Africa
JP Faulkner,527,385,26.0,36,23,136.88311688311688,20.26923076923077,45,1990-04-29,Right_Hand,Left-arm fast-medium,Australia
JR Hopes,417,305,16.0,49,11,136.72131147540983,26.0625,19,1978-10-24,Right_Hand,Right-arm medium,Australia
Jaskaran Singh,8,11,1.0,0,0,72.72727272727273,8.0,4,1989-09-04,Right_Hand,Right-arm medium,India
Joginder Sharma,36,30,4.0,1,2,120.0,9.0,5,1983-10-23,Right_Hand,Right-arm fast-medium,India
K Ahmed,0,1,1.0,0,0,0.0,0.0,1,,Right_hand,Left-arm fast-medium,
K Goel,218,231,15.0,17,9,94.37229437229438,14.533333333333333,16,1986-12-24,Left_Hand,Right-arm offbreak,India
K Gowtham,148,83,12.0,10,10,178.3132530120482,12.333333333333334,17,,Right_hand,Right-arm offbreak,
K Paul,22,24,5.0,1,1,91.66666666666666,4.4,5,,Right_hand,Right-arm fast-medium,
K Rabada,70,79,6.0,5,2,88.60759493670885,11.666666666666666,7,,Left_Hand,Right-arm fast,
K Upadhyay,12,9,0.0,0,1,133.33333333333331,,2,1986-06-18,Right_Hand,Right-arm medium,India
KA Pollard,2784,1869,97.0,182,175,148.9566613162119,28.701030927835053,132,1987-05-12,Right_Hand,Right-arm medium-fast,West Indies
KAJ Roach,10,9,1.0,1,0,111.11111111111111,10.0,1,1988-06-30,Right_Hand,Right-arm fast,West Indies
KB Arun Karthik,51,51,5.0,4,1,100.0,10.2,8,1986-02-15,Right_Hand,Legbreak googly,India
KC Cariappa,24,21,3.0,0,2,114.28571428571428,8.0,5,1994-04-13,Right_Hand,Legbreak,India
KC Sangakkara,1687,1385,65.0,195,27,121.80505415162455,25.953846153846154,68,1977-10-27,Left_Hand,Right-arm offbreak,Sri Lanka
KD Karthik,3688,2810,135.0,358,101,131.24555160142347,27.31851851851852,162,1985-06-01,Right_Hand,,India
KH Pandya,915,610,35.0,87,35,150.0,26.142857142857142,46,1991-03-24,Left_Hand,Slow left-arm orthodox,India
KJ Abbott,13,8,1.0,0,1,162.5,13.0,3,1987-06-18,Right_Hand,Right-arm fast-medium,South Africa
KK Cooper,116,67,9.0,9,8,173.13432835820893,12.88888888888889,12,1989-02-16,Right_Hand,Right-arm medium,West Indies
KK Nair,1470,1137,59.0,158,39,129.28759894459102,24.915254237288135,63,1991-12-06,Right_Hand,Right-arm offbreak,India
KL Rahul,2013,1427,47.0,178,81,141.06517168885776,42.829787234042556,58,1992-04-18,Right_Hand,,India
KM Jadhav,1091,842,47.0,92,38,129.57244655581948,23.21276595744681,70,1985-03-26,Right_Hand,Right-arm offbreak,India
KMDN Kulasekara,5,3,0.0,1,0,166.66666666666669,,1,1982-07-22,Right_Hand,Right-arm fast-medium,Sri Lanka
KP Appanna,2,4,1.0,0,0,50.0,2.0,3,1988-12-20,Right_Hand,Slow left-arm orthodox,India
KP Pietersen,1001,742,28.0,91,40,134.9056603773585,35.75,36,1980-06-27,Right_Hand,Right-arm offbreak,South Africa
KS Williamson,1319,961,34.0,111,44,137.25286160249738,38.794117647058826,41,1990-08-08,Right_Hand,Right-arm offbreak,New Zealand
KV Sharma,317,274,21.0,18,14,115.69343065693431,15.095238095238095,34,1987-10-23,Left_Hand,Legbreak googly,India
KW Richardson,36,39,3.0,2,1,92.3076923076923,12.0,4,1991-02-12,Right_Hand,Right-arm fast-medium,Australia
Kamran Akmal,128,77,5.0,13,8,166.23376623376623,25.6,6,1982-01-13,Right_Hand,,Pakistan
Kamran Khan,3,5,1.0,0,0,60.0,3.0,1,1991-03-10,Left_Hand,Left-arm medium-fast,India
Karanveer Singh,12,17,1.0,1,0,70.58823529411765,12.0,4,1987-11-08,Right_Hand,Legbreak googly,India
Kuldeep Yadav,46,54,5.0,4,0,85.18518518518519,9.2,8,1994-12-14,Left_Hand,Slow left-arm chinaman,India
L Ablish,0,2,0.0,0,0,0.0,,1,1982-12-03,Right_Hand,Right-arm medium-fast,India
